날짜,시가,고가,저가,종가,거래량
2020-07-27,20700,23800,19425,21500,5683528.0
2020-07-28,21975,24624,21750,23200,2603348.0
2020-07-29,22675,24100,22650,23150,726962.0
2020-07-30,23500,23800,22350,22900,407250.0
2020-07-31,22750,23000,21800,21900,369938.0
2020-08-03,21900,22475,20600,21900,286138.0
2020-08-04,21675,22475,21450,22175,163816.0
2020-08-05,22200,24750,22200,24750,1024958.0
2020-08-06,24800,25999,23950,25450,654262.0
2020-08-07,25300,25750,24825,25500,347076.0
2020-08-10,25500,26000,24550,25000,348554.0
2020-08-11,25200,26499,24099,25800,231302.0
2020-08-12,26000,27500,25150,26350,430396.0
2020-08-13,26300,27150,24225,24400,687758.0
2020-08-14,24950,24975,21725,24000,656828.0
2020-08-18,23950,23950,21700,21750,266146.0
2020-08-19,21650,22475,21300,22300,262330.0
2020-08-20,22300,22300,20475,20800,225134.0
2020-08-21,21100,21250,19375,20500,359648.0
2020-08-24,20300,21475,19375,21450,251550.0
2020-08-25,21500,22100,20825,21750,173264.0
2020-08-26,21775,21800,20625,21000,135006.0
2020-08-27,20975,22100,20050,20450,209200.0
2020-08-28,20525,20675,19550,19675,196620.0
2020-08-31,19925,19925,18450,18700,351914.0
2020-09-01,18900,18950,18050,18400,321488.0
2020-09-02,18400,20225,18325,19825,444976.0
2020-09-03,19950,21225,19825,20250,322336.0
2020-09-04,19450,20225,19275,20000,242290.0
2020-09-07,20250,20250,19475,19725,164986.0
2020-09-08,19725,19750,19050,19100,160344.0
2020-09-09,18700,19225,18500,18875,228296.0
2020-09-10,18925,20000,18925,19550,167234.0
2020-09-11,19600,20725,19000,20025,264078.0
2020-09-14,20550,21225,20300,20850,214006.0
2020-09-15,20875,20925,20100,20550,110588.0
2020-09-16,20850,20875,19925,20275,85284.0
2020-09-17,20000,20450,19400,19625,118970.0
2020-09-18,19500,19875,19325,19650,56580.0
2020-09-21,19650,19650,18750,18975,124480.0
2020-09-22,18675,18950,18250,18525,120056.0
2020-09-23,18575,19025,18525,18750,66654.0
2020-09-24,18325,18525,17600,17650,97832.0
2020-09-25,17650,18075,17275,17925,98924.0
2020-09-28,17950,18500,17950,18500,36714.0
2020-09-29,18600,18850,18100,18600,35150.0
2020-10-05,18625,18700,18425,18700,44892.0
2020-10-06,18775,18775,18300,18450,77802.0
2020-10-07,18400,18500,18175,18400,67182.0
2020-10-08,18550,18750,18450,18575,108740.0
2020-10-12,18750,20225,18750,20100,305874.0
2020-10-13,20500,21075,20125,20325,214020.0
2020-10-14,20525,21075,19875,20375,217088.0
2020-10-15,20150,20150,19300,19775,99544.0
2020-10-16,19650,19650,19075,19325,129810.0
2020-10-19,19350,21000,19325,20275,366728.0
2020-10-20,20275,21275,19675,21200,272168.0
2020-10-21,21200,21925,20900,21600,265482.0
2020-10-22,21350,21600,20975,21450,148344.0
2020-10-23,21125,22050,21100,21250,160762.0
2020-10-26,21450,22450,20800,21300,267430.0
2020-10-27,21050,21175,20075,20425,154602.0
2020-10-28,20650,21750,20250,21450,128352.0
2020-10-29,20975,21175,20600,20975,90040.0
2020-10-30,20975,21300,20450,20450,103758.0
2020-11-02,20450,20500,19750,20350,80798.0
2020-11-03,20475,20475,19950,20000,91850.0
2020-11-04,20050,20350,19950,20125,60676.0
2020-11-05,20150,21025,20000,20750,153374.0
2020-11-06,21225,22200,20675,21525,224408.0
2020-11-09,22250,23125,21925,22450,474526.0
2020-11-10,22999,24025,22325,23900,359514.0
2020-11-11,23900,24200,23050,24000,167364.0
2020-11-12,23750,24325,23575,23900,122608.0
2020-11-13,23800,24100,22725,23825,227666.0
2020-11-16,23825,23825,22950,23300,193826.0
2020-11-17,23025,23825,22500,23475,209066.0
2020-11-18,23275,23749,22475,22650,194578.0
2020-11-19,22475,22475,21400,21500,226848.0
2020-11-20,21400,21975,21400,21625,131970.0
2020-11-23,21600,22525,21325,22000,167542.0
2020-11-24,22000,22375,21450,21650,267920.0
2020-11-25,21700,21875,20700,21150,219786.0
