날짜,시가,고가,저가,종가,거래량
2010-10-22,101282,114334,92445,94226,676248.0
2010-10-25,94996,108181,94185,104530,255276.0
2010-10-26,105434,106899,95652,96960,69127.0
2010-10-27,96450,97892,86802,88426,73473.0
2010-10-28,90502,95664,88901,91179,57788.0
2010-10-29,90502,92125,86806,87325,23826.0
2010-11-01,87943,90490,83909,85712,27963.0
2010-11-02,87766,89209,85197,85535,13399.0
2010-11-03,84724,88736,84724,85221,16793.0
2010-11-04,86324,87271,84724,85378,13474.0
2010-11-05,86000,86653,81965,82822,13885.0
2010-11-08,84882,86956,83259,85221,11956.0
2010-11-09,84884,85989,83419,84434,6993.0
2010-11-10,85192,93396,85192,90038,35617.0
2010-11-11,88749,90191,86337,86833,12166.0
2010-11-12,88739,88739,81954,84434,12692.0
2010-11-15,84399,84399,81018,82822,7222.0
2010-11-16,81800,83581,79569,80403,8010.0
2010-11-17,78744,79938,76333,77257,8283.0
2010-11-18,78763,79575,77163,77591,5472.0
2010-11-19,77975,82957,76352,78968,13478.0
2010-11-22,79028,81169,78216,80403,3535.0
2010-11-23,80373,80689,76992,77985,5553.0
2010-11-24,69508,75210,69508,72754,10421.0
2010-11-25,74580,74580,68314,70748,7688.0
2010-11-26,70241,71954,66296,67130,6955.0
2010-11-29,66067,68321,65977,67465,2801.0
2010-11-30,67090,69591,66842,68330,3635.0
2010-12-01,69131,69131,67418,67779,2048.0
2010-12-02,69756,76247,69125,70748,22767.0
2010-12-03,69279,70722,67161,67229,8565.0
2010-12-06,69412,69412,66279,68173,3321.0
2010-12-07,68628,68943,66847,67524,2477.0
2010-12-08,67667,68636,66946,67465,1767.0
2010-12-09,67405,67405,66278,66482,4712.0
2010-12-10,66369,66933,65896,66167,3580.0
2010-12-13,66559,68227,65973,66718,5431.0
2010-12-14,67324,67324,65566,66423,4546.0
2010-12-15,66375,66555,65000,65203,4917.0
2010-12-16,65742,65742,63308,63827,4937.0
2010-12-17,65011,65011,62870,63434,6039.0
2010-12-20,62998,63426,59933,61015,4468.0
2010-12-21,61145,62678,61145,61664,1975.0
2010-12-22,62605,64205,61545,62628,1629.0
2010-12-23,63950,64379,62440,63906,3370.0
2010-12-24,64621,65568,62863,62864,5772.0
2010-12-27,62367,63652,61804,62864,1348.0
2010-12-28,62864,63157,59619,60543,3800.0
2010-12-29,59961,61877,59961,61900,2049.0
2010-12-30,62677,63151,60266,61821,1295.0
2011-01-03,61878,62689,60751,61585,2239.0
2011-01-04,61876,62215,60907,62057,4514.0
2011-01-05,61713,71293,61713,66718,30996.0
2011-01-06,68306,70222,63889,64633,12619.0
2011-01-07,67671,73149,67108,70670,45857.0
2011-01-10,73148,73306,69136,70984,9976.0
2011-01-11,71671,71671,66780,67366,9172.0
2011-01-12,67817,69349,66059,67366,4629.0
2011-01-13,67504,68631,65092,66423,5210.0
2011-01-14,67171,67171,65007,65774,3247.0
2011-01-17,66218,66556,63558,65046,8262.0
2011-01-18,65091,67908,65091,66894,6318.0
2011-01-19,67514,68573,66860,66973,6213.0
2011-01-20,66951,68574,66477,66816,6037.0
2011-01-21,66842,67495,64453,64476,3158.0
2011-01-24,64453,65648,62853,64319,2988.0
