날짜,시가,고가,저가,종가,거래량
2013-07-01,9840,11300,9840,11300,3800.0
2013-07-02,12950,12950,12950,12950,3200.0
2013-07-03,14500,14500,14200,14200,4000.0
2013-07-04,13500,13500,13000,13000,2400.0
2013-07-05,13000,13000,13000,13000,600.0
2013-07-08,12000,12700,11950,12650,3500.0
2013-07-09,12900,13000,12900,13000,1100.0
2013-07-10,13500,14500,13500,14500,6400.0
2013-07-11,15000,15000,15000,15000,3100.0
2013-07-12,14950,15050,14950,15050,6100.0
2013-07-15,14950,14950,14950,14950,2300.0
2013-07-16,15000,15000,14950,14950,13000.0
2013-07-17,14950,15000,14950,15000,15500.0
2013-07-18,15000,15400,15000,15400,23000.0
2013-07-19,15100,17500,15100,17500,19600.0
2013-07-22,17500,18000,17000,17650,13600.0
2013-07-23,18000,18000,17150,17150,10400.0
2013-07-24,17500,17500,16950,17000,5200.0
2013-07-25,16950,16950,16950,16950,1100.0
2013-07-26,16600,16600,16300,16450,4600.0
2013-07-29,16650,16800,16650,16800,2300.0
2013-07-30,16000,16600,15950,16450,5900.0
2013-07-31,16400,16400,15900,16000,2300.0
2013-08-01,16000,16000,15950,16000,6300.0
2013-08-02,16500,16500,15500,15950,8000.0
2013-08-05,16400,17500,16400,17000,8600.0
2013-08-06,17550,17550,17300,17300,5700.0
2013-08-07,17300,18000,17100,17400,7600.0
2013-08-08,18000,19500,18000,19000,12200.0
2013-08-09,19000,19000,19000,19000,10400.0
2013-08-12,19000,19000,19000,19000,7000.0
2013-08-13,19000,19000,19000,19000,10000.0
2013-08-14,19500,19500,19500,19500,300.0
2013-08-16,19500,19500,19000,19400,300.0
2013-08-19,18600,18800,18600,18800,1300.0
2013-08-20,19000,19000,19000,19000,300.0
2013-08-21,19000,19000,19000,19000,3600.0
2013-08-22,0,0,0,18500,0.0
2013-08-23,19000,19000,19000,19000,14100.0
2013-08-26,19000,19000,19000,19000,4600.0
2013-08-27,18500,19000,18500,19000,8100.0
2013-08-28,19000,19000,18500,18500,2600.0
2013-08-29,19500,19500,19000,19000,4100.0
2013-08-30,18500,19000,18500,19000,2700.0
2013-09-02,19000,19000,18500,19000,3600.0
2013-09-03,18500,19000,18500,19000,600.0
2013-09-04,19000,19000,18500,19000,2600.0
2013-09-05,19000,19000,19000,19000,1000.0
2013-09-06,0,0,0,19000,0.0
2013-09-09,19000,19000,18500,18500,200.0
2013-09-10,18700,18750,18700,18750,900.0
2013-09-11,18500,18500,18500,18500,1000.0
2013-09-12,18500,18500,18500,18500,3500.0
2013-09-13,18900,18900,18900,18900,600.0
2013-09-16,0,0,0,18500,0.0
2013-09-17,17700,18300,17700,18300,300.0
2013-09-23,18250,18250,18250,18250,100.0
2013-09-24,17900,17900,17900,17900,2800.0
2013-09-25,18000,18000,17500,17500,600.0
2013-09-26,18000,18000,17600,17600,600.0
2013-09-27,17800,17800,17800,17800,600.0
2013-09-30,0,0,0,17500,0.0
2013-10-01,17400,20000,17400,20000,4000.0
2013-10-02,19500,19500,17200,17200,3000.0
2013-10-04,17200,17200,17200,17200,3000.0
2013-10-07,17200,17200,17200,17200,2000.0
2013-10-08,18500,18500,18500,18500,6000.0
2013-10-10,18000,20500,18000,20500,8100.0
2013-10-11,18500,18500,18500,18500,1000.0
2013-10-14,18200,19500,18200,19500,1800.0
2013-10-15,0,0,0,19000,0.0
2013-10-16,18700,18700,18700,18700,500.0
2013-10-17,18500,19000,18500,19000,3200.0
2013-10-18,0,0,0,18500,0.0
2013-10-21,18200,18200,18000,18000,5500.0
2013-10-22,18000,18000,18000,18000,2200.0
2013-10-23,18500,18500,18500,18500,100.0
2013-10-24,0,0,0,18200,0.0
2013-10-25,0,0,0,18200,0.0
2013-10-28,18200,18200,18200,18200,2000.0
2013-10-29,20000,20000,20000,20000,1700.0
2013-10-30,18500,19000,18500,19000,1600.0
2013-10-31,19000,19000,18500,18500,5000.0
2013-11-01,18300,18300,18000,18000,2800.0
2013-11-04,17800,17800,17200,17700,3000.0
2013-11-05,17700,17700,17700,17700,2000.0
2013-11-06,0,0,0,17600,0.0
2013-11-07,17600,17600,17600,17600,5000.0
2013-11-08,18350,18350,18300,18300,200.0
2013-11-11,0,0,0,18000,0.0
2013-11-12,17950,17950,17900,17900,17000.0
2013-11-13,17900,17900,17900,17900,1000.0
2013-11-14,17900,17900,17900,17900,3700.0
2013-11-15,18000,18500,17900,18500,1100.0
2013-11-18,18500,18500,18400,18500,2100.0
2013-11-19,18500,18500,18400,18400,2500.0
2013-11-20,18400,18400,18350,18350,1800.0
2013-11-21,18300,18350,18300,18350,800.0
2013-11-22,18300,18300,18300,18300,2700.0
2013-11-25,0,0,0,18300,0.0
2013-11-26,18300,18300,18300,18300,1600.0
2013-11-27,0,0,0,18300,0.0
2013-11-28,18300,18300,18200,18200,3500.0
2013-11-29,0,0,0,18200,0.0
2013-12-02,0,0,0,18300,0.0
2013-12-03,0,0,0,18300,0.0
2013-12-04,19000,19000,19000,19000,100.0
2013-12-05,18500,18900,18500,18900,2600.0
2013-12-06,0,0,0,18500,0.0
2013-12-09,0,0,0,18500,0.0
2013-12-10,0,0,0,18500,0.0
2013-12-11,19800,19800,19800,19800,100.0
2013-12-12,19150,19150,19150,19150,100.0
2013-12-13,19900,19900,18800,18800,2900.0
2013-12-16,18500,18500,18500,18500,200.0
2013-12-17,19000,19000,19000,19000,100.0
2013-12-18,0,0,0,18800,0.0
2013-12-19,19900,19900,19900,19900,100.0
2013-12-20,0,0,0,19350,0.0
2013-12-23,19000,19000,19000,19000,100.0
2013-12-24,19000,19000,19000,19000,4300.0
2013-12-26,19850,19850,19850,19850,3000.0
2013-12-27,19350,19500,19350,19500,2100.0
2013-12-30,19800,19800,19800,19800,100.0
2014-01-02,0,0,0,19300,0.0
2014-01-03,19000,19200,18800,19200,1500.0
2014-01-06,0,0,0,19000,0.0
2014-01-07,0,0,0,19000,0.0
2014-01-08,18500,19300,18500,19300,1400.0
2014-01-09,0,0,0,19000,0.0
2014-01-10,0,0,0,19100,0.0
2014-01-13,19000,19000,19000,19000,400.0
2014-01-14,18500,19000,18500,19000,700.0
2014-01-15,19100,19100,19000,19000,200.0
2014-01-16,18950,18950,18950,18950,200.0
2014-01-17,18950,19000,18950,19000,400.0
2014-01-20,18500,19000,18200,19000,1600.0
2014-01-21,18500,18500,18500,18500,1100.0
2014-01-22,18800,18900,18300,18350,1600.0
2014-01-23,18350,18350,18350,18350,500.0
2014-01-24,19000,19000,18000,18000,1800.0
2014-01-27,19000,19500,19000,19500,2300.0
2014-01-28,19950,20450,19950,20350,4300.0
2014-01-29,20000,21000,20000,21000,1000.0
2014-02-03,20050,20050,20050,20050,100.0
2014-02-04,20000,20000,20000,20000,600.0
2014-02-05,19600,19600,19500,19500,500.0
2014-02-06,0,0,0,19500,0.0
2014-02-07,0,0,0,19500,0.0
2014-02-10,19400,19500,19400,19500,400.0
