날짜,시가,고가,저가,종가,거래량
2013-07-01,0,0,0,2967,0.0
2013-07-02,0,0,0,2967,0.0
2013-07-03,0,0,0,2967,0.0
2013-07-04,0,0,0,2967,0.0
2013-07-05,0,0,0,2967,0.0
2013-07-08,0,0,0,2967,0.0
2013-07-09,3411,3411,3411,3412,0.0
2013-07-10,0,0,0,3412,0.0
2013-07-11,3920,3920,3920,3920,0.0
2013-07-12,0,0,0,3920,0.0
2013-07-15,0,0,0,3920,0.0
2013-07-16,4501,4501,4501,4501,0.0
2013-07-17,4255,4255,4255,4255,0.0
2013-07-18,4255,4255,4255,4255,0.0
2013-07-19,4255,4501,4255,4501,0.0
2013-07-22,0,0,0,4501,0.0
2013-07-23,0,0,0,4501,0.0
2013-07-24,0,0,0,4501,0.0
2013-07-25,4500,4916,4500,4916,0.0
2013-07-26,0,0,0,4916,0.0
2013-07-29,0,0,0,4916,0.0
2013-07-30,4916,4916,4916,4916,0.0
2013-07-31,4187,5645,4187,5645,0.0
2013-08-01,5331,5331,4806,4806,0.0
2013-08-02,4806,4806,4806,4806,0.0
2013-08-05,0,0,0,4806,0.0
2013-08-06,4645,4645,4645,4645,0.0
2013-08-07,0,0,0,4645,0.0
2013-08-08,0,0,0,4645,0.0
2013-08-09,4645,4645,4645,4645,0.0
2013-08-12,0,0,0,4645,0.0
2013-08-13,4645,4645,4645,4645,0.0
2013-08-14,4907,4907,4907,4908,0.0
2013-08-16,5483,5483,5483,5484,0.0
2013-08-19,5425,5425,5425,5425,0.0
2013-08-20,6103,6103,6103,6103,0.0
2013-08-21,0,0,0,6103,0.0
2013-08-22,0,0,0,6103,0.0
2013-08-23,0,0,0,6103,0.0
2013-08-26,0,0,0,6103,0.0
2013-08-27,0,0,0,6103,0.0
2013-08-28,0,0,0,6103,0.0
2013-08-29,0,0,0,6103,0.0
2013-08-30,0,0,0,6103,0.0
2013-09-02,0,0,0,6103,0.0
2013-09-03,0,0,0,6103,0.0
2013-09-04,0,0,0,6103,0.0
2013-09-05,0,0,0,6103,0.0
2013-09-06,0,0,0,6103,0.0
2013-09-09,0,0,0,6102,0.0
2013-09-10,0,0,0,6102,0.0
2013-09-11,0,0,0,6102,0.0
2013-09-12,0,0,0,5933,0.0
2013-09-13,0,0,0,5933,0.0
2013-09-16,5933,5933,5933,5933,0.0
2013-09-17,0,0,0,5933,0.0
2013-09-23,0,0,0,5933,0.0
2013-09-24,5933,5933,5933,5933,0.0
2013-09-25,0,0,0,5890,0.0
2013-09-26,5568,5568,5568,5568,0.0
2013-09-27,0,0,0,5568,0.0
2013-09-30,0,0,0,5568,0.0
2013-10-01,0,0,0,5568,0.0
2013-10-02,5508,5508,5508,5508,0.0
2013-10-04,0,0,0,5508,0.0
2013-10-07,0,0,0,5508,0.0
2013-10-08,0,0,0,5508,0.0
2013-10-10,6102,6102,6102,6102,0.0
2013-10-11,5797,5797,5797,5797,0.0
2013-10-14,0,0,0,5797,0.0
2013-10-15,5500,5500,5500,5500,0.0
2013-10-16,0,0,0,5500,0.0
2013-10-17,0,0,0,5500,0.0
2013-10-18,0,0,0,5500,0.0
2013-10-21,0,0,0,5500,0.0
2013-10-22,0,0,0,5500,0.0
2013-10-23,0,0,0,5500,0.0
2013-10-24,0,0,0,5500,0.0
2013-10-25,0,0,0,5500,0.0
2013-10-28,5313,5593,5313,5593,0.0
2013-10-29,6102,6102,6102,6102,0.0
2013-10-30,5874,5874,5874,5874,0.0
2013-10-31,0,0,0,5874,0.0
2013-11-01,5636,5636,5636,5636,0.0
